User_ID,User_Type,Department,Region,Platform_Source,App_Installed,First_Login_Completed,Days_Since_Last_Activity,Registered_for_Event,Event_Type,Event_Mode,Newsletter_Subscribed,Saved_Event_Count,Feedback_Rating,Course_Completed,Time_Spent_Total_Minutes
ECL100054,Professional,Law,West,Instagram,1,0,32,0,Webinar,Offline,0,8,1,0,85
ECL100055,Entrepreneur,Polytechnic,West,WhatsApp,1,1,35,1,Conference,Hybrid,0,6,2,1,321
ECL100056,Professional,Science,South,WhatsApp,1,1,12,1,Hackathon,Offline,0,7,1,0,28
ECL100057,Professional,Law,East,YouTube,1,1,21,1,Webinar,Online,1,3,3,0,352
ECL100058,Student,Arts,Central,ACE Website,1,0,23,1,Workshop,Online,0,4,2,0,234
ECL100059,Student,Polytechnic,South,Email,1,1,66,0,Conference,Offline,1,6,2,0,136
ECL100060,Professional,Medical,Central,Email,0,1,88,0,Webinar,Offline,0,7,1,0,242
ECL100061,Faculty,Law,East,YouTube,0,1,23,1,FDP,Online,0,2,2,0,290
ECL100062,Faculty,Polytechnic,North,Instagram,0,1,77,1,FDP,Hybrid,1,5,4,0,290
ECL100063,Entrepreneur,Commerce,South,Email,0,0,83,1,Conference,Online,0,9,3,0,422
ECL100064,Entrepreneur,Engineering,Central,WhatsApp,1,1,67,1,Workshop,Hybrid,0,0,2,0,48
ECL100065,Faculty,Arts,North,LinkedIn,1,1,43,0,Hackathon,Online,1,8,5,0,80
ECL100066,Professional,Law,West,Instagram,1,0,65,0,Conference,Hybrid,0,1,5,0,209
ECL100067,Faculty,Medical,East,Email,1,1,63,1,Hackathon,Offline,0,1,4,0,199
ECL100068,Faculty,Medical,South,WhatsApp,0,1,81,0,FDP,Offline,1,8,1,1,371
ECL100069,Student,Engineering,West,LinkedIn,1,0,16,1,Workshop,Offline,0,4,5,0,14
ECL100070,Faculty,Law,North,ACE Website,1,1,71,0,Hackathon,Hybrid,1,6,1,1,82
ECL100071,Student,Polytechnic,East,Email,1,1,42,1,Webinar,Online,0,7,5,1,192
ECL100072,Entrepreneur,Arts,East,LinkedIn,1,1,42,0,Workshop,Offline,1,6,3,1,229
ECL100073,Student,Commerce,Central,ACE Website,1,0,72,1,STTP,Hybrid,0,7,4,1,216
ECL100074,Professional,Law,North,ACE Website,0,1,68,0,Workshop,Offline,0,7,3,1,386
ECL100075,Student,Law,South,Instagram,1,0,78,0,Webinar,Online,0,8,1,0,404
ECL100076,Student,Polytechnic,North,WhatsApp,1,1,50,1,Webinar,Offline,0,9,2,0,410
ECL100077,Professional,Polytechnic,West,Instagram,1,1,80,1,STTP,Hybrid,0,8,5,0,112
ECL100078,Student,Commerce,West,LinkedIn,0,1,11,1,FDP,Hybrid,0,2,5,0,21
ECL100079,Professional,Engineering,North,YouTube,1,1,41,1,STTP,Online,0,3,2,0,168
ECL100080,Student,Arts,East,Email,1,1,63,1,Webinar,Offline,0,8,5,1,94
ECL100081,Faculty,Law,North,Instagram,1,1,58,1,FDP,Offline,0,5,5,0,420
ECL100082,Faculty,Science,North,WhatsApp,1,1,75,0,FDP,Online,0,7,1,1,194
ECL100083,Professional,Polytechnic,South,WhatsApp,1,0,45,1,Workshop,Hybrid,1,9,2,1,102
ECL100084,Student,Engineering,West,ACE Website,1,1,37,0,Conference,Online,1,1,1,0,191
ECL100085,Faculty,Science,South,WhatsApp,1,0,30,1,Workshop,Hybrid,0,6,3,0,325
ECL100086,Professional,Polytechnic,North,WhatsApp,0,1,38,0,Hackathon,Offline,0,1,5,0,479
ECL100087,Faculty,Medical,West,ACE Website,1,0,81,0,Webinar,Hybrid,0,4,1,1,482
ECL100088,Student,Arts,West,WhatsApp,0,1,45,1,Conference,Offline,0,2,4,1,37
ECL100089,Entrepreneur,Arts,South,Email,0,1,66,1,STTP,Offline,0,1,1,1,55
ECL100090,Professional,Engineering,Central,YouTube,1,1,4,0,FDP,Online,0,4,5,0,229
ECL100091,Faculty,Arts,Central,ACE Website,1,1,74,0,Workshop,Online,0,2,4,0,439
ECL100092,Entrepreneur,Polytechnic,North,Instagram,1,1,1,1,Hackathon,Hybrid,0,4,4,1,350
ECL100093,Student,Commerce,Central,WhatsApp,1,1,8,0,FDP,Offline,1,9,1,1,241
ECL100094,Professional,Law,East,WhatsApp,1,0,82,0,Workshop,Online,0,5,1,0,275
ECL100095,Entrepreneur,Arts,East,LinkedIn,1,1,72,1,Webinar,Online,0,0,2,0,314
ECL100096,Professional,Medical,Central,LinkedIn,1,1,47,0,STTP,Hybrid,0,7,2,1,439
ECL100097,Student,Medical,West,LinkedIn,1,1,39,1,Webinar,Offline,1,5,4,1,73
ECL100098,Student,Science,East,LinkedIn,1,1,42,0,Hackathon,Offline,0,8,2,0,22
ECL100099,Entrepreneur,Engineering,West,Email,1,0,73,1,Conference,Online,0,7,5,1,203
ECL100100,Faculty,Law,South,LinkedIn,1,1,54,0,Workshop,Hybrid,1,0,3,0,183
ECL100101,Professional,Arts,North,WhatsApp,1,0,68,0,Hackathon,Online,0,8,5,1,212
ECL100102,Entrepreneur,Engineering,North,LinkedIn,0,1,89,1,STTP,Online,0,2,4,0,208
ECL100103,Entrepreneur,Arts,South,Instagram,1,0,81,1,STTP,Hybrid,0,6,1,0,248
ECL100104,Student,Medical,West,WhatsApp,0,1,72,1,FDP,Offline,0,8,5,0,201
ECL100105,Faculty,Law,Central,Instagram,1,0,56,0,FDP,Hybrid,0,2,2,0,56
ECL100106,Student,Polytechnic,South,WhatsApp,0,0,40,1,Workshop,Online,0,3,1,1,456
ECL100107,Entrepreneur,Law,North,WhatsApp,1,1,36,0,Hackathon,Offline,1,4,1,0,318
ECL100108,Student,Commerce,South,YouTube,1,0,10,1,STTP,Online,1,2,2,1,278
ECL100109,Faculty,Medical,South,ACE Website,0,1,48,1,Hackathon,Hybrid,0,7,1,0,306
ECL100110,Student,Engineering,West,LinkedIn,1,1,49,0,STTP,Hybrid,0,1,5,0,426
ECL100111,Entrepreneur,Science,Central,ACE Website,1,0,76,1,Conference,Offline,0,5,3,0,324
ECL100112,Entrepreneur,Engineering,East,Email,1,1,45,1,Workshop,Online,0,8,3,0,349
ECL100113,Entrepreneur,Arts,East,Email,1,1,13,0,Hackathon,Online,0,9,2,0,418
ECL100114,Entrepreneur,Engineering,East,Instagram,0,1,88,1,Hackathon,Hybrid,1,1,4,1,376
ECL100115,Student,Polytechnic,South,WhatsApp,0,1,28,1,Webinar,Hybrid,0,9,3,0,489
ECL100116,Professional,Law,West,YouTube,1,0,18,1,FDP,Hybrid,1,9,4,1,463
ECL100117,Entrepreneur,Medical,East,Email,1,1,26,0,STTP,Hybrid,0,5,2,0,338
ECL100118,Faculty,Science,South,Instagram,0,1,65,0,FDP,Online,0,2,4,0,350
ECL100119,Professional,Law,North,WhatsApp,0,0,61,0,Conference,Online,1,9,4,0,68
ECL100120,Entrepreneur,Science,East,Email,1,1,68,0,Webinar,Online,0,5,1,0,39
ECL100121,Professional,Law,Central,WhatsApp,1,1,6,1,Workshop,Online,0,2,1,1,74
ECL100122,Professional,Law,South,YouTube,1,1,80,1,STTP,Offline,1,1,5,1,100
ECL100123,Faculty,Law,South,WhatsApp,1,1,20,1,Conference,Hybrid,0,9,4,1,99
ECL100124,Entrepreneur,Commerce,West,Instagram,1,0,48,0,Hackathon,Offline,1,7,5,1,375
ECL100125,Student,Engineering,Central,YouTube,1,0,41,1,Hackathon,Hybrid,0,3,2,0,328
ECL100126,Entrepreneur,Medical,East,YouTube,1,0,60,0,Workshop,Hybrid,0,7,2,1,456
ECL100127,Student,Polytechnic,West,LinkedIn,1,0,60,1,Hackathon,Hybrid,0,2,5,0,425
ECL100128,Entrepreneur,Science,North,Instagram,1,0,50,0,Hackathon,Online,0,3,5,1,466
ECL100129,Professional,Medical,West,ACE Website,1,0,56,0,Conference,Hybrid,0,0,1,0,133
ECL100130,Entrepreneur,Arts,North,YouTube,1,1,33,1,Webinar,Online,1,2,3,1,354
ECL100131,Entrepreneur,Polytechnic,South,ACE Website,1,1,65,1,Hackathon,Hybrid,0,7,4,1,51
ECL100132,Student,Medical,South,ACE Website,1,1,45,0,FDP,Offline,0,9,4,1,66
ECL100133,Faculty,Law,West,WhatsApp,0,0,33,1,Webinar,Offline,0,1,1,1,216
ECL100134,Professional,Arts,Central,ACE Website,1,1,3,0,Conference,Hybrid,0,9,1,0,14
ECL100135,Student,Commerce,South,Instagram,0,0,14,1,Conference,Offline,0,5,3,0,463
ECL100136,Entrepreneur,Medical,East,YouTube,1,0,8,0,FDP,Offline,0,5,1,1,87
ECL100137,Faculty,Arts,North,YouTube,0,1,7,1,FDP,Hybrid,0,5,4,1,123
ECL100138,Entrepreneur,Science,East,LinkedIn,1,1,39,1,STTP,Online,0,9,5,1,408
ECL100139,Faculty,Arts,Central,Email,1,0,49,1,Hackathon,Hybrid,0,7,1,0,441
ECL100140,Entrepreneur,Polytechnic,South,WhatsApp,0,0,67,0,STTP,Online,0,8,4,1,399
ECL100141,Student,Science,North,YouTube,1,1,57,0,Webinar,Online,1,8,1,1,387
ECL100142,Entrepreneur,Engineering,Central,LinkedIn,1,1,73,1,FDP,Offline,0,3,5,1,59
ECL100143,Entrepreneur,Commerce,East,Instagram,0,1,3,0,FDP,Offline,1,1,5,0,295
ECL100144,Professional,Polytechnic,Central,Email,1,0,76,1,STTP,Online,0,4,4,1,363
ECL100145,Professional,Law,West,YouTube,0,0,42,0,Workshop,Online,0,1,3,1,254
ECL100146,Student,Law,West,ACE Website,0,0,10,1,Workshop,Hybrid,0,2,4,0,185
ECL100147,Faculty,Polytechnic,North,WhatsApp,0,1,75,0,Workshop,Hybrid,0,3,4,0,124
ECL100148,Faculty,Science,West,WhatsApp,1,1,70,1,STTP,Online,1,0,4,1,128
ECL100149,Student,Medical,West,WhatsApp,1,1,27,0,STTP,Online,0,8,3,0,128
ECL100150,Student,Engineering,South,YouTube,1,1,29,1,STTP,Hybrid,0,5,4,1,94
ECL100151,Professional,Arts,North,Instagram,1,1,30,0,Webinar,Offline,0,1,4,0,359
ECL100152,Student,Commerce,West,LinkedIn,0,0,86,1,Hackathon,Hybrid,0,7,3,1,492
ECL100153,Faculty,Science,Central,YouTube,1,0,86,1,Conference,Hybrid,0,3,3,0,215
ECL100154,Entrepreneur,Engineering,South,LinkedIn,1,1,32,1,Webinar,Online,0,8,2,0,135
ECL100155,Faculty,Science,West,Instagram,1,1,87,0,Workshop,Offline,0,3,1,0,405
ECL100156,Student,Commerce,Central,LinkedIn,1,0,11,1,Workshop,Online,0,0,2,1,235
ECL100157,Faculty,Law,North,Email,0,1,81,0,Conference,Offline,0,8,4,1,34
ECL100158,Professional,Engineering,East,LinkedIn,0,0,86,0,Webinar,Hybrid,1,2,2,0,160
ECL100159,Entrepreneur,Arts,South,Email,1,1,79,1,Workshop,Offline,0,5,3,0,421
ECL100160,Professional,Medical,North,YouTube,1,1,24,0,Hackathon,Hybrid,0,1,5,1,438
ECL100161,Faculty,Engineering,North,LinkedIn,0,1,41,0,Hackathon,Online,0,0,5,1,172
ECL100162,Faculty,Polytechnic,South,LinkedIn,0,1,10,0,Webinar,Online,0,2,5,1,87
ECL100163,Entrepreneur,Polytechnic,East,YouTube,1,0,4,0,Hackathon,Hybrid,0,0,2,0,459
ECL100164,Faculty,Engineering,West,WhatsApp,1,1,54,0,FDP,Online,0,5,5,0,394
ECL100165,Entrepreneur,Engineering,East,Instagram,1,0,38,0,STTP,Online,0,1,1,1,211
ECL100166,Professional,Engineering,West,Email,1,0,40,1,Hackathon,Online,0,9,3,1,14
ECL100167,Entrepreneur,Commerce,South,Instagram,0,1,6,0,Hackathon,Offline,0,5,1,0,135
ECL100168,Faculty,Arts,East,YouTube,1,0,87,0,STTP,Online,0,0,3,0,130
ECL100169,Professional,Polytechnic,West,ACE Website,1,1,24,1,FDP,Offline,1,2,4,1,20
ECL100170,Entrepreneur,Engineering,West,ACE Website,0,1,27,0,Conference,Online,1,3,4,0,451
ECL100171,Entrepreneur,Arts,South,WhatsApp,1,0,20,1,Hackathon,Hybrid,0,5,4,1,34
ECL100172,Entrepreneur,Medical,East,Instagram,0,0,16,0,Hackathon,Online,0,5,4,0,169
ECL100173,Entrepreneur,Engineering,North,YouTube,1,1,16,0,Webinar,Online,1,9,5,1,230
ECL100174,Faculty,Polytechnic,Central,ACE Website,1,0,57,1,FDP,Hybrid,0,7,4,0,134
ECL100175,Student,Engineering,Central,ACE Website,0,1,48,1,Workshop,Hybrid,0,3,3,0,452
ECL100176,Faculty,Medical,East,LinkedIn,1,0,39,0,Workshop,Offline,0,0,1,0,429
ECL100177,Professional,Commerce,South,LinkedIn,1,1,9,0,STTP,Online,1,4,3,0,474
ECL100178,Entrepreneur,Commerce,West,ACE Website,0,1,45,1,FDP,Online,0,0,1,1,420
ECL100179,Student,Science,Central,ACE Website,0,0,80,1,FDP,Online,0,2,2,0,472
ECL100180,Faculty,Medical,North,Instagram,1,0,62,1,FDP,Online,1,8,4,0,139
ECL100181,Faculty,Polytechnic,South,Instagram,1,0,4,1,STTP,Hybrid,1,6,4,0,463
ECL100182,Faculty,Medical,Central,Instagram,1,1,74,1,Hackathon,Hybrid,0,2,3,0,309
ECL100183,Professional,Commerce,Central,ACE Website,1,0,3,0,Conference,Offline,1,9,3,1,460
ECL100184,Professional,Medical,West,ACE Website,1,1,83,1,FDP,Hybrid,1,4,4,0,60
ECL100185,Entrepreneur,Polytechnic,West,Instagram,1,0,77,1,Conference,Online,0,2,5,1,477
ECL100186,Student,Engineering,East,Instagram,1,1,47,0,Webinar,Hybrid,0,8,4,0,147
ECL100187,Faculty,Arts,Central,WhatsApp,0,1,12,1,Workshop,Hybrid,0,9,5,0,454
ECL100188,Entrepreneur,Commerce,Central,Instagram,1,0,85,1,Conference,Hybrid,1,9,3,1,208
ECL100189,Professional,Law,East,WhatsApp,0,1,7,1,STTP,Online,1,7,2,1,361
ECL100190,Professional,Medical,North,YouTube,1,1,29,1,Conference,Offline,0,8,2,0,20
ECL100191,Professional,Science,West,LinkedIn,0,1,75,0,Conference,Online,1,7,5,0,17
ECL100192,Professional,Science,East,YouTube,1,1,36,1,Webinar,Hybrid,1,5,3,0,41
ECL100193,Professional,Law,East,Instagram,1,1,73,0,Hackathon,Online,1,4,5,1,152
ECL100194,Student,Engineering,East,WhatsApp,1,1,77,0,Webinar,Offline,0,3,1,0,116
ECL100195,Professional,Law,South,WhatsApp,1,1,55,0,Conference,Offline,1,0,5,0,126
ECL100196,Professional,Science,East,WhatsApp,1,1,38,1,Hackathon,Offline,0,7,3,0,344
ECL100197,Student,Law,East,ACE Website,1,1,0,1,Conference,Offline,1,9,1,0,162
ECL100198,Student,Polytechnic,North,ACE Website,0,0,77,0,Hackathon,Offline,0,2,5,0,378
ECL100199,Student,Engineering,West,Instagram,1,0,61,1,Workshop,Offline,0,5,1,0,187
ECL100200,Professional,Commerce,East,LinkedIn,1,1,80,1,Webinar,Online,1,8,1,0,206
ECL100201,Professional,Law,South,YouTube,1,0,24,0,STTP,Offline,1,9,4,1,188
ECL100202,Student,Arts,North,WhatsApp,1,1,42,1,Webinar,Online,1,9,5,0,197
ECL100203,Entrepreneur,Arts,East,YouTube,1,1,58,1,Workshop,Hybrid,0,3,1,1,199
ECL100204,Student,Polytechnic,North,Instagram,1,0,58,0,FDP,Offline,1,2,5,1,101
ECL100205,Student,Arts,South,LinkedIn,0,1,3,0,FDP,Offline,1,7,5,1,447
ECL100206,Entrepreneur,Commerce,Central,WhatsApp,1,0,56,0,Conference,Online,0,2,3,0,116
ECL100207,Entrepreneur,Arts,East,Email,1,0,11,1,Workshop,Hybrid,1,9,4,0,177
ECL100208,Student,Science,Central,WhatsApp,1,0,8,0,Webinar,Hybrid,1,3,1,1,81
ECL100209,Entrepreneur,Polytechnic,East,LinkedIn,1,1,7,0,Workshop,Offline,0,1,5,1,88
ECL100210,Professional,Science,West,Instagram,1,1,16,0,Hackathon,Online,0,8,2,1,19
ECL100211,Student,Arts,South,Instagram,0,1,21,1,STTP,Offline,1,0,3,0,225
ECL100212,Entrepreneur,Science,North,LinkedIn,1,1,84,1,Hackathon,Hybrid,0,4,1,0,276
ECL100213,Entrepreneur,Commerce,West,YouTube,0,0,58,0,STTP,Online,0,6,2,0,101
ECL100214,Faculty,Commerce,South,Instagram,1,0,0,1,Webinar,Offline,0,6,4,1,205
ECL100215,Entrepreneur,Science,West,Email,1,1,40,1,Hackathon,Hybrid,0,4,4,1,388
ECL100216,Professional,Engineering,Central,ACE Website,1,1,89,0,Webinar,Online,0,3,3,0,97
ECL100217,Student,Medical,West,Instagram,1,1,89,1,Workshop,Offline,1,1,5,1,460
ECL100218,Entrepreneur,Science,West,LinkedIn,1,0,23,1,FDP,Offline,0,5,2,0,293
ECL100219,Entrepreneur,Medical,North,YouTube,1,1,30,1,FDP,Hybrid,0,5,1,0,344
ECL100220,Faculty,Arts,West,LinkedIn,1,1,45,1,Workshop,Offline,0,7,2,1,398
ECL100221,Student,Engineering,West,LinkedIn,1,1,0,0,STTP,Hybrid,0,6,1,1,103
ECL100222,Faculty,Commerce,East,Instagram,1,0,47,0,STTP,Online,0,7,5,1,486
ECL100223,Professional,Commerce,Central,ACE Website,1,0,32,1,STTP,Online,0,8,1,0,120
ECL100224,Professional,Medical,Central,Instagram,1,0,39,1,Conference,Offline,0,7,4,1,351
ECL100225,Professional,Law,North,WhatsApp,0,1,31,1,Webinar,Online,1,1,4,0,278
ECL100226,Student,Polytechnic,South,WhatsApp,1,0,24,1,STTP,Hybrid,1,2,2,1,119
ECL100227,Faculty,Medical,East,ACE Website,1,1,20,1,Webinar,Hybrid,0,2,3,0,478
ECL100228,Faculty,Science,South,YouTube,1,1,0,1,Webinar,Online,0,6,4,0,265
ECL100229,Faculty,Arts,Central,YouTube,1,1,1,1,Workshop,Hybrid,0,3,1,1,307
ECL100230,Faculty,Engineering,North,WhatsApp,0,1,58,0,Conference,Offline,0,0,3,0,353
ECL100231,Professional,Medical,North,ACE Website,1,1,15,0,Webinar,Offline,1,6,2,1,327
ECL100232,Student,Polytechnic,North,Instagram,1,0,60,0,FDP,Online,1,9,5,0,130
ECL100233,Student,Polytechnic,West,ACE Website,1,1,32,0,Workshop,Offline,0,7,5,0,348
ECL100234,Entrepreneur,Engineering,West,ACE Website,1,1,42,1,FDP,Online,1,7,5,1,459
ECL100235,Student,Medical,North,ACE Website,1,1,43,0,STTP,Offline,0,9,3,0,10
ECL100236,Faculty,Commerce,Central,Instagram,1,0,17,1,Workshop,Hybrid,1,9,1,0,362
ECL100237,Professional,Engineering,West,ACE Website,1,0,88,1,Workshop,Online,1,2,4,0,69
ECL100238,Entrepreneur,Law,West,ACE Website,0,1,15,0,Conference,Hybrid,0,5,5,0,216
ECL100239,Entrepreneur,Law,South,WhatsApp,1,0,23,1,Webinar,Hybrid,0,6,2,0,24
ECL100240,Student,Medical,Central,LinkedIn,1,1,74,0,Workshop,Offline,0,6,3,0,134
ECL100241,Student,Commerce,Central,LinkedIn,1,1,62,0,STTP,Hybrid,0,4,5,1,364
ECL100242,Student,Arts,East,ACE Website,1,1,33,0,Hackathon,Offline,1,6,3,0,122
ECL100243,Professional,Arts,East,ACE Website,0,0,32,1,Workshop,Hybrid,0,1,3,1,234
ECL100244,Student,Commerce,East,LinkedIn,1,1,79,1,Conference,Offline,1,5,4,1,191
ECL100245,Student,Arts,North,Instagram,0,0,61,0,Workshop,Hybrid,1,0,3,1,406
ECL100246,Student,Polytechnic,West,LinkedIn,1,0,8,0,Webinar,Offline,0,9,1,1,101
ECL100247,Professional,Engineering,South,ACE Website,1,0,8,0,STTP,Offline,0,9,5,1,446
ECL100248,Student,Law,North,ACE Website,0,0,46,1,Webinar,Online,1,3,2,1,479
ECL100249,Professional,Arts,North,ACE Website,1,0,35,0,STTP,Offline,1,9,3,0,396
ECL100250,Faculty,Science,South,YouTube,1,0,47,0,Workshop,Hybrid,0,9,4,0,328
ECL100251,Entrepreneur,Medical,North,Instagram,1,1,68,1,Webinar,Hybrid,1,6,5,1,426
ECL100252,Student,Commerce,Central,WhatsApp,1,0,77,1,STTP,Online,0,6,5,1,399
ECL100253,Professional,Medical,North,LinkedIn,1,0,21,0,Conference,Hybrid,0,0,2,1,397
ECL100254,Professional,Engineering,East,Instagram,1,0,1,1,Workshop,Hybrid,0,1,5,1,103
ECL100255,Faculty,Commerce,West,Email,1,1,42,0,Conference,Offline,0,8,5,0,81
ECL100256,Entrepreneur,Law,West,YouTube,1,1,6,1,Workshop,Online,0,7,3,0,222
ECL100257,Student,Medical,North,YouTube,0,0,86,0,Webinar,Offline,0,0,3,0,199
ECL100258,Faculty,Medical,South,LinkedIn,1,0,54,1,Webinar,Offline,1,0,3,0,383
ECL100259,Professional,Engineering,West,WhatsApp,1,1,16,0,Workshop,Offline,0,6,1,0,219
ECL100260,Professional,Medical,West,Email,0,1,46,1,Webinar,Hybrid,0,9,1,0,486
ECL100261,Entrepreneur,Polytechnic,Central,ACE Website,1,1,10,0,Hackathon,Hybrid,1,6,5,0,33
ECL100262,Student,Law,North,Instagram,1,0,25,1,Hackathon,Hybrid,0,7,1,0,295
ECL100263,Entrepreneur,Polytechnic,Central,Email,0,0,60,1,Webinar,Hybrid,0,9,5,0,422
ECL100264,Entrepreneur,Polytechnic,Central,WhatsApp,1,0,60,0,FDP,Hybrid,0,9,2,0,149
ECL100265,Student,Polytechnic,South,YouTube,1,0,50,1,Webinar,Hybrid,0,2,1,0,72
ECL100266,Faculty,Polytechnic,Central,Instagram,1,0,21,1,Hackathon,Online,0,2,1,0,167
ECL100267,Faculty,Arts,North,ACE Website,1,0,72,0,STTP,Hybrid,0,7,1,1,388
ECL100268,Professional,Polytechnic,North,ACE Website,1,0,39,1,STTP,Online,1,8,4,0,105
ECL100269,Entrepreneur,Arts,West,Email,1,1,89,1,Workshop,Offline,0,3,2,1,316
ECL100270,Entrepreneur,Medical,Central,Instagram,0,0,24,0,Conference,Hybrid,0,9,1,0,266
ECL100271,Entrepreneur,Law,North,LinkedIn,1,1,43,0,Conference,Hybrid,0,5,2,0,58
